"Molecule.ChEMBL.ID","Smiles","Standard.Type","Standard.Relation","Standard.Value","Standard.Units","pChEMBL.Value","Target.ChEMBL.ID","Target.Name","Document.ChEMBL.ID","Assay.Description","Document.Journal","Document.Year","X.RO5.Violations","Molecular.Weight","AlogP"
"CHEMBL1205058","O=C(O)c1ccc2c(c1)[nH]c(=O)c1ccccc12","IC50","'='",70,"nM",7.16,"CHEMBL3105","Poly [ADP-ribose] polymerase-1","CHEMBL3638475","Chemiluminescent PARP Assay: PARP assays are conducted using a chemiluminescent PARP assay kit (Trevigen). Briefly, reactions are performed in Histone-coated strip wells, by adding 10 microliters test compound dissolved in 1x PARP Buffer (prepared by mixing 20x PARP buffer diluted with high-purity water) and 15 microliters diluted PARP-HSA enzyme (diluted in 1x PARP buffer, 0.1 unit per well) to 25 microliters PARP cocktail (prepared from 10x PARP cocktail and 10x activated DNA, both 2.5 microliters per well and 20 microliters per well of 1x PARP buffer). The reactions are incubated at ambient temperature for 60 minutes, then the liquid was removed. After washing the wells four times with PBS (200 ul), 50 microliters of STREP-HRP (Horseradish Peroxidase) solution (diluted 500-fold in 1x Strep-Diluent) was added and the reactions were allowed to incubate for 30 minutes at ambient temperature.","",2015,"0",239.23,"2.38"
"CHEMBL3696942","O=C(O)c1ccc2c(c1)nc(OCCCO)c1ccccc12","IC50","'='",400,"nM",6.4,"CHEMBL3105","Poly [ADP-ribose] polymerase-1","CHEMBL3638475","Chemiluminescent PARP Assay: PARP assays are conducted using a chemiluminescent PARP assay kit (Trevigen). Briefly, reactions are performed in Histone-coated strip wells, by adding 10 microliters test compound dissolved in 1x PARP Buffer (prepared by mixing 20x PARP buffer diluted with high-purity water) and 15 microliters diluted PARP-HSA enzyme (diluted in 1x PARP buffer, 0.1 unit per well) to 25 microliters PARP cocktail (prepared from 10x PARP cocktail and 10x activated DNA, both 2.5 microliters per well and 20 microliters per well of 1x PARP buffer). The reactions are incubated at ambient temperature for 60 minutes, then the liquid was removed. After washing the wells four times with PBS (200 ul), 50 microliters of STREP-HRP (Horseradish Peroxidase) solution (diluted 500-fold in 1x Strep-Diluent) was added and the reactions were allowed to incubate for 30 minutes at ambient temperature.","",2015,"0",297.31,"2.85"
"CHEMBL3649717","CN1CCC(Oc2ccc3[nH]c(=O)c4c(c3c2)NCCC4)CC1","IC50","'='",1070,"nM",5.97,"CHEMBL3105","Poly [ADP-ribose] polymerase-1","CHEMBL3638589","Enzyme Inhibitory Assay: The activity of the compounds according to the present invention to inhibit the PARP-1 enzyme was examined using a PARP Assay kit (4671-096-K) purchased from Trevigen. The assay was performed following a modified previously reported method by Lee et al [Methods Find, Exp. Clin. Pharmacol., 27, 617-622, 2005].Histone was coated on 384-well plate, which is a small volume PS plate (784101) of Greiner Bio-One, and left at 25 C. for 2 hours. After that, the plate was rinsed four times with PBS (7.5 mM Na2HPO4, 2.5 mM NaH2PO4, 145 mM NaCl, pH 7.4), and in order to prevent non-specific reaction, the Strep-diluent (provided from kit of Trevigen) was added and left at 25 C. for one hour. After one hour, the plate was again rinsed with PBS four times, and the compounds of the Examples in various concentrations were put into reactant containing PARP-1 enzyme (0.12 unit/well), 2x PARP cocktail.","",2014,"0",313.4,"2.36"
"CHEMBL3649720","O=C(NCCN1CCCCC1)c1ccc2[nH]c(=O)c3cccnc3c2c1","IC50","'='",1050,"nM",5.98,"CHEMBL3105","Poly [ADP-ribose] polymerase-1","CHEMBL3638589","Enzyme Inhibitory Assay: The activity of the compounds according to the present invention to inhibit the PARP-1 enzyme was examined using a PARP Assay kit (4671-096-K) purchased from Trevigen. The assay was performed following a modified previously reported method by Lee et al [Methods Find, Exp. Clin. Pharmacol., 27, 617-622, 2005].Histone was coated on 384-well plate, which is a small volume PS plate (784101) of Greiner Bio-One, and left at 25 C. for 2 hours. After that, the plate was rinsed four times with PBS (7.5 mM Na2HPO4, 2.5 mM NaH2PO4, 145 mM NaCl, pH 7.4), and in order to prevent non-specific reaction, the Strep-diluent (provided from kit of Trevigen) was added and left at 25 C. for one hour. After one hour, the plate was again rinsed with PBS four times, and the compounds of the Examples in various concentrations were put into reactant containing PARP-1 enzyme (0.12 unit/well), 2x PARP cocktail.","",2014,"0",350.42,"2.29"
"CHEMBL3394705","COc1cc2c(cc1OC)C1(O)c3ccccc3C(=O)N1CC2","IC50","'='",865.3,"nM",6.06,"CHEMBL3105","Poly [ADP-ribose] polymerase-1","CHEMBL3393053","Inhibition of PARP1 (unknown origin) in presence of NAD+ by homogenous fluorescence plate assay","Bioorg. Med. Chem.",2015,"0",311.34,"1.91"
"CHEMBL3653091","COCCOc1cc(CN(C)C)cc2[nH]c(=O)c3c(c12)NCCC3","IC50","'='",180,"nM",6.75,"CHEMBL3105","Poly [ADP-ribose] polymerase-1","CHEMBL3638589","Enzyme Inhibitory Assay: The activity of the compounds according to the present invention to inhibit the PARP-1 enzyme was examined using a PARP Assay kit (4671-096-K) purchased from Trevigen. The assay was performed following a modified previously reported method by Lee et al [Methods Find, Exp. Clin. Pharmacol., 27, 617-622, 2005].Histone was coated on 384-well plate, which is a small volume PS plate (784101) of Greiner Bio-One, and left at 25 C. for 2 hours. After that, the plate was rinsed four times with PBS (7.5 mM Na2HPO4, 2.5 mM NaH2PO4, 145 mM NaCl, pH 7.4), and in order to prevent non-specific reaction, the Strep-diluent (provided from kit of Trevigen) was added and left at 25 C. for one hour. After one hour, the plate was again rinsed with PBS four times, and the compounds of the Examples in various concentrations were put into reactant containing PARP-1 enzyme (0.12 unit/well), 2x PARP cocktail.","",2014,"0",331.42,"1.97"
"CHEMBL3649769","O=c1[nH]c2cc(Cn3cccc3)ccc2c2c1CCCN2","IC50","'='",1540,"nM",5.81,"CHEMBL3105","Poly [ADP-ribose] polymerase-1","CHEMBL3638589","Enzyme Inhibitory Assay: The activity of the compounds according to the present invention to inhibit the PARP-1 enzyme was examined using a PARP Assay kit (4671-096-K) purchased from Trevigen. The assay was performed following a modified previously reported method by Lee et al [Methods Find, Exp. Clin. Pharmacol., 27, 617-622, 2005].Histone was coated on 384-well plate, which is a small volume PS plate (784101) of Greiner Bio-One, and left at 25 C. for 2 hours. After that, the plate was rinsed four times with PBS (7.5 mM Na2HPO4, 2.5 mM NaH2PO4, 145 mM NaCl, pH 7.4), and in order to prevent non-specific reaction, the Strep-diluent (provided from kit of Trevigen) was added and left at 25 C. for one hour. After one hour, the plate was again rinsed with PBS four times, and the compounds of the Examples in various concentrations were put into reactant containing PARP-1 enzyme (0.12 unit/well), 2x PARP cocktail.","",2014,"0",279.34,"2.74"
"CHEMBL3649737","CN(C)CCc1ccc2c3c(c(=O)[nH]c2c1)CCCN3","IC50","'='",230,"nM",6.64,"CHEMBL3105","Poly [ADP-ribose] polymerase-1","CHEMBL3638589","Enzyme Inhibitory Assay: The activity of the compounds according to the present invention to inhibit the PARP-1 enzyme was examined using a PARP Assay kit (4671-096-K) purchased from Trevigen. The assay was performed following a modified previously reported method by Lee et al [Methods Find, Exp. Clin. Pharmacol., 27, 617-622, 2005].Histone was coated on 384-well plate, which is a small volume PS plate (784101) of Greiner Bio-One, and left at 25 C. for 2 hours. After that, the plate was rinsed four times with PBS (7.5 mM Na2HPO4, 2.5 mM NaH2PO4, 145 mM NaCl, pH 7.4), and in order to prevent non-specific reaction, the Strep-diluent (provided from kit of Trevigen) was added and left at 25 C. for one hour. After one hour, the plate was again rinsed with PBS four times, and the compounds of the Examples in various concentrations were put into reactant containing PARP-1 enzyme (0.12 unit/well), 2x PARP cocktail.","",2014,"0",271.36,"1.99"
"CHEMBL3649753","O=c1[nH]c2cc(CN3CCCCC3)ccc2c2c1CCCN2","IC50","'='",130,"nM",6.89,"CHEMBL3105","Poly [ADP-ribose] polymerase-1","CHEMBL3638589","Enzyme Inhibitory Assay: The activity of the compounds according to the present invention to inhibit the PARP-1 enzyme was examined using a PARP Assay kit (4671-096-K) purchased from Trevigen. The assay was performed following a modified previously reported method by Lee et al [Methods Find, Exp. Clin. Pharmacol., 27, 617-622, 2005].Histone was coated on 384-well plate, which is a small volume PS plate (784101) of Greiner Bio-One, and left at 25 C. for 2 hours. After that, the plate was rinsed four times with PBS (7.5 mM Na2HPO4, 2.5 mM NaH2PO4, 145 mM NaCl, pH 7.4), and in order to prevent non-specific reaction, the Strep-diluent (provided from kit of Trevigen) was added and left at 25 C. for one hour. After one hour, the plate was again rinsed with PBS four times, and the compounds of the Examples in various concentrations were put into reactant containing PARP-1 enzyme (0.12 unit/well), 2x PARP cocktail.","",2014,"0",297.4,"2.87"
"CHEMBL108849","Oc1nc2ccccc2c2ccncc12","IC50","'='",2600,"nM",5.58,"CHEMBL3105","Poly [ADP-ribose] polymerase-1","CHEMBL1145841","Inhibitory activity against Poly (ADP-ribose) polymerase 1","J. Med. Chem.",2003,"0",196.21,"2.49"
"CHEMBL3901232","CC(C)(C)OC(=O)N1CCc2c([nH]c3cccc4c(=O)[nH]nc2c34)C1","IC50","'='",5.1,"nM",8.29,"CHEMBL3105","Poly [ADP-ribose] polymerase-1","CHEMBL3886679","HT F Homogeneous PARP Inhibition Assay: PARP1 enzymatic assay was conducted using a method modified from HT F Homogeneous PARP Inhibition Assay Kit (Trevigen). 8.8 nM PARP1 was pre-incubated with different concentrations of compounds in a buffer containing 100 mM Tris-HCl pH 8.0, 100 mM NaCl, 20 mM MgCl2, and 1% DMSO for 30 min at RT. The auto-PARsylation reaction was initiated by addition of 500 nM NAD and 20 ng/ul activated DNA (Sigma) and incubated at RT for 40 min. The remaining NAD was detected by incubation with cycling assay solution containing 1% ethanol, 0.30 U/ml alcohol dehydrogenase, 25 uM resazurin, and 0.25 U/ml diaphorase for 50 min at RT. The concentration of NAD is proportional to the fluorescence signal at Ex540 nm/Em 590 nm.","",2016,"0",340.38,"2.70"
"CHEMBL3902386","O=C(CN1CCC(n2c(=O)[nH]c3ccccc32)CC1)NCc1nc2c(c(=O)[nH]1)COCC2","IC50","'='",32400,"nM",4.49,"CHEMBL3105","Poly [ADP-ribose] polymerase-1","CHEMBL3886352","Biochemical Assay: The autoparsylation activity of the TNKS 1/2 or PARP1/2 enzymes was measured by the liquid chromatography-mass spectrometry (LC/MS) detection of nicotinamide as readout. Compound activity in inhibiting the TNKS and PARP autoparsylation was evaluated by IC50 measurements. In the compound screening assays, the reaction is composed of 5 μL of compound in 8-point serial dilutions with concentrations ranging from 0.0086 to 18.75 μM, 20 nM of purified enzyme, and 250 μM of β-NAD+ in the 1× Assay Buffer. After 60 min incubation at room temperature, the reactions were quenched by the addition of 10 μL of 5× quenching solution (20% formic acid and 500 nM [d]-nicotinamide in water). For the background control wells, 10 μL of the 5× quenching solution per well was added prior to the addition of β-NAD+.","",2015,"0",438.49,"0.44"
"CHEMBL3421820","O=c1[nH]nc2[nH]c(-c3ccccc3)nc3cccc1c32","IC50","'='",148,"nM",6.83,"CHEMBL3105","Poly [ADP-ribose] polymerase-1","CHEMBL3421544","Inhibition of PARP1 (unknown origin)","Bioorg. Med. Chem. Lett.",2015,"0",262.27,"2.47"
