"Molecule.ChEMBL.ID","Smiles","Standard.Type","Standard.Relation","Standard.Value","Standard.Units","pChEMBL.Value","Target.ChEMBL.ID","Target.Name","Document.ChEMBL.ID","Assay.Description","Document.Journal","Document.Year","X.RO5.Violations","Molecular.Weight","AlogP"
"CHEMBL444186","CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1","IC50","'='",3190,"nM",5.5,"CHEMBL4523582","Replicase polyprotein 1ab","CHEMBL4495564","SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate",NA,2020,"0",268.27,"-2.71"
"CHEMBL1201073","O=C(O)[C@H](S)[C@H](S)C(=O)O","IC50","'='",1720,"nM",5.76,"CHEMBL4523582","Replicase polyprotein 1ab","CHEMBL4495564","SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate",NA,2020,"0",182.22,"-0.25"
"CHEMBL3747259","O=C(/C=C/c1ccc(O)c2c1[C@@H](C(=O)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O)[C@H](c1ccc(O)c(O)c1)O2)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O","IC50","'='",3420,"nM",5.47,"CHEMBL4523582","Replicase polyprotein 1ab","CHEMBL4495564","SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate",NA,2020,"3",718.62,"3.33"
"CHEMBL488755","CN(C)CCNc1nc2cc(O)ccc2c2c1C(=O)c1ccccc1-2","IC50","'='",2990,"nM",5.52,"CHEMBL4523582","Replicase polyprotein 1ab","CHEMBL4495564","SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate",NA,2020,"0",333.39,"3.13"
"CHEMBL4303331","C[C@@H]1O[C@@H](Oc2c(-c3cc(O)c(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@@H](O)[C@H](O)[C@H]1O","IC50","'='",3660,"nM",5.44,"CHEMBL4523582","Replicase polyprotein 1ab","CHEMBL4495564","SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate",NA,2020,"2",464.38,"0.19"
"CHEMBL406050","CCC(C)SSc1ncc[nH]1","IC50","'='",140,"nM",6.85,"CHEMBL4523582","Replicase polyprotein 1ab","CHEMBL4495564","SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate",NA,2020,"0",188.32,"2.95"
"CHEMBL2354521","COc1cccc(C(=O)CCN[C@@H](C)[C@H](O)c2ccccc2)c1","IC50","'='",2350,"nM",5.63,"CHEMBL4523582","Replicase polyprotein 1ab","CHEMBL4495564","SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate",NA,2020,"0",349.86,"2.98"
"CHEMBL243652","O=C(CC1Sc2ncnn2C1=O)Nc1ccc(Br)cc1","IC50","'='",2040,"nM",5.69,"CHEMBL4523582","Replicase polyprotein 1ab","CHEMBL4495564","SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate",NA,2020,"0",353.2,"2.18"
"CHEMBL259018","CC(C)(C)OC(=O)NCCc1nnc(S(=O)(=O)Cc2ccc(Cl)cc2Cl)o1","IC50","'='",4220,"nM",5.38,"CHEMBL4523582","Replicase polyprotein 1ab","CHEMBL4495564","SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate",NA,2020,"0",436.32,"3.42"
"CHEMBL284861","Cn1sc(=O)n(Cc2ccccc2)c1=O","IC50","'='",140,"nM",6.85,"CHEMBL4523582","Replicase polyprotein 1ab","CHEMBL4495564","SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate",NA,2020,"0",222.27,"0.66"
"CHEMBL105712","O=C(CCl)c1ccccc1","IC50","'='",190,"nM",6.72,"CHEMBL4523582","Replicase polyprotein 1ab","CHEMBL4495564","SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate",NA,2020,"0",154.6,"2.11"
"CHEMBL4303154","C/C=C1\C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC(=O)OCCc1ccc(O)c(O)c1","IC50","'='",3380,"nM",5.47,"CHEMBL4523582","Replicase polyprotein 1ab","CHEMBL4495564","SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate",NA,2020,"3",540.52,"-0.63"
"CHEMBL8260","O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12","IC50","'='",20,"nM",7.7,"CHEMBL4523582","Replicase polyprotein 1ab","CHEMBL4495564","SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate",NA,2020,"0",270.24,"2.58"
"CHEMBL2368547","O=C(O)c1cc(O)c2c(c1)[C@H]([C@H]1c3cc(C(=O)O)cc(O)c3C(=O)c3c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cccc31)c1cccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c1C2=O","IC50","'='",1590,"nM",5.8,"CHEMBL4523582","Replicase polyprotein 1ab","CHEMBL4495564","SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate",NA,2020,"3",862.75,"-1.10"
"CHEMBL472940","Oc1ccc2ccccc2c1SSc1c(O)ccc2ccccc12","IC50","'='",510,"nM",6.29,"CHEMBL4523582","Replicase polyprotein 1ab","CHEMBL4495564","SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate",NA,2020,"1",350.46,"6.20"
"CHEMBL1725120","Cc1ccc(C)c(-n2sc3cc(F)ccc3c2=O)c1","IC50","'='",20,"nM",7.7,"CHEMBL4523582","Replicase polyprotein 1ab","CHEMBL4495564","SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate",NA,2020,"0",273.33,"3.81"
"CHEMBL4303361","Oc1cc(CNC(=S)/C=C/c2cc(O)c(O)c(Br)c2)cc(O)c1O","IC50","'='",480,"nM",6.32,"CHEMBL4523582","Replicase polyprotein 1ab","CHEMBL4495564","SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate",NA,2020,"1",412.26,"3.11"
"CHEMBL271023","[O-][S+](c1ccccc1)c1ccc2nnnn2n1","IC50","'='",1120,"nM",5.95,"CHEMBL4523582","Replicase polyprotein 1ab","CHEMBL4495564","SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate",NA,2020,"0",245.27,"0.69"
"CHEMBL120563","CN(C)C(=S)SSC(=S)N(C)C","IC50","'='",50,"nM",7.3,"CHEMBL4523582","Replicase polyprotein 1ab","CHEMBL4495564","SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate",NA,2020,"0",240.44,"2.06"
